date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2020-03-06,Kentucky,1,0.022,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Maryland,3,0.05,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Massachusetts,8,0.116,1,0.015,1,0,0,0,0,0
2020-03-06,Minnesota,1,0.018,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Nebraska,14,0.724,0.14285714285714285,0.007,-0.111,0,0,0,0,0
2020-03-06,Nevada,2,0.065,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,New Hampshire,2,0.147,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,New Jersey,4,0.045,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,New York,44,0.226,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,North Carolina,2,0.019,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Oklahoma,1,0.025,NA,NA,NA,0,0,NA,NA,NA
2020-03-06,Oregon,2,0.047,0.14285714285714285,0.003,NA,0,0,0,0,NA
